0101010F0BDAAAU	0101010F0BDABBE
091101000BBUMFT	0913445A0BFAAAF
091101000BBUPDU	0913445A0BDAAAD
091101000BBUSFG	0913213A0BGAAAF
091101000BBUVFY	0914081A0BBAAAA
091101000BBUWFZ	0913445A0BEAAAE
091101000BBUZGC	0913445A0BCAAAB
091101000BBVCGE	0913206H0BBAAAA
091101000BBVDA0	0913141C0BBABAB
091101000BBVEA0	0913141C0BBACAB
091101000BBVFA0	0913141C0BBADAB
091102000AABQBQ	0913121A0AAABAB
091102000BBGMBQ	0913121A0BCAAAB
091102000BBILA0	0913121A0BBAAAA
091104000BBNMA0	0913531C0BCAAAB
091104000BBNUA0	0913531C0BBAAAA
091104000BBNVA0	0913531B0BBAAAA
091200000BFRLA0	0913311A0BDAAAD
091200000BFVCFR	0913471A0BBAAAA
190400000AAPZPZ	0913448A0AAAAAA
190700000AAAZAZ	0913411A0AAABAB
190700000AABPBP	0913161A0AAAFAF
190700000BBAGAZ	0913411A0BCAAAB
190700000BBBKA0	0913411B0BCAAAB
190700000BBBLBA	0913161B0BGAAAE
190700000BBBMBA	0913161B0BFAAAD
190700000BBBQBA	0913161B0BDAAAB
190700000BBBUBA	0913161B0BEAAAC
190700000BBBVAZ	0913461D0BBAAAA
190700000BBBWAZ	0913461D0BCAAAB
190700000BBCFA0	0913171A0BBAAAA
190700000BBCGA0	0913171A0BBABAB
190700000BBCIBA	0913161B0BEABAC
190700000BBCJA0	0913161A0BEAAAA
190700000BBCLBA	0913161B0BCAAAA
190700000BBCMBA	0913411B0BBAAAA
190700000BBCNBA	0913411B0BBABAA
190700000BBCPBA	0913161A0BCAAAC
190700000BBCRA0	0913161A0BBABAE
190700000BBCTA0	0913161A0BFAAAB
190700000BBCUA0	0913161A0BBAAAD
190700000BBCVA0	0913161A0BEABAA
190700000BBCXBA	0913161A0BCABAC
190700000BBCYA0	0913411A0BBAAAA
190700000BBCZA0	0913161A0BFABAB
190700000BBDABP	0913161A0BDAAAF
191300000BMCHA0	0913171B0BBABAB
191300000BMCIA0	0913171B0BBAAAA
191300000BMCUA0	0913421A0BBAAAA
