0101010F0BDAAAU	0101010F0BDABBE
090401000BBQXA0	0913205F0BBADAA
090401000BBQYA0	0913201C0BBABAB
090401000BBQZA0	0913206B0BBAAAA
090401000BBRAA0	0913204C0BBAAAA
090401000BBRCA0	0913251A0BBAAAA
090401000BBRDA0	0913291A0BCAAAB
090401000BBRGA0	0913204H0BBAAAA
090401000BBRHA0	0913201G0BBAAAA
090401000BBRIA0	0913206G0BBAAAA
090401000BBRJA0	0913141B0BCAAAB
090401000BBRLA0	0913205K0BCAAAA
090401000BBRPA0	0913205N0BBAAAA
090401000BBRRA0	0913201E0BBABAB
090401000BBRSA0	0913201G0BBABAB
090401000BBRTA0	0913204F0BBABAB
090401000BBRUA0	0913204H0BBABAB
090401000BBRVA0	0913206D0BBABAB
090401000BBRWA0	0913206G0BBABAB
090401000BBRXA0	0913141D0BBAAAA
090401000BBRYA0	0913205N0BBABAC
090401000BBRZA0	0913444A0BBAAAA
090401000BBSAA0	0913181K0BBAAAA
090401000BBSBA0	0913181G0BBABAA
090401000BBSCA0	0913431A0BBAAAA
090401000BBSDA0	0913181H0BBAAAA
090401000BBSFA0	0913211A0BBAAAA
090401000BBSGA0	0913209A0BBAAAA
090401000BBSHA0	0913203B0BBAAAA
090401000BBSIA0	0913204A0BBAAAA
090401000BBSJA0	0913207B0BCAAAB
090401000BBSKA0	0913261V0BBAAAA
090401000BBSLA0	0913261V0BBABAA
090401000BBSMA0	0913261V0BBACAA
090401000BBSNA0	0913261V0BBADAA
090401000BBSPA0	0913205M0BBABAB
090401000BBSQA0	0913205N0BBACAE
090401000BBSRA0	0913301A0BBADAB
090401000BBSSA0	0913301A0BBAEAB
090401000BBSTA0	0913301A0BBAFAB
090401000BBSUA0	0913205K0BDAAAB
090401000BBSVA0	0913226B0BBABAA
090401000BBSWA0	0913226B0BBACAA
090401000BBSXA0	0913226B0BBADAA
090401000BBSYA0	0913226B0BBAAAA
090401000BBSZA0	0913226B0BBAEAA
090401000BBTEA0	0913225B0BBAAAA
090401000BBTFA0	0913227B0BBAAAA
090401000BBTGA0	0913101A0BGAAAE
090401000BBTHA0	0913101A0BHAAAF
090401000BBTIA0	0913223A0BBAAAA
090401000BBTJA0	0913222B0BBAAAA
090401000BBTKA0	0913221A0BBABAB
090401000BBTLA0	0913224A0BBAAAA
090401000BBTMA0	0913205N0BDAAAD
090401000BBTNA0	0913446A0BBABAA
090401000BBTPA0	0913204D0BBABAA
090401000BBTQA0	0913205G0BBABAA
090401000BBTRA0	0913205M0BBACAB
090401000BBTSA0	0913205M0BBADAB
090401000BBTTA0	0913205M0BBAEAB
090401000BBTUA0	0913205N0BBADAE
090401000BBTVA0	0913205N0BBAEAE
090401000BBTWA0	0913205N0BBAFAE
090401000BBTXA0	0913261J0BDAAAC
090401000BBTYA0	0913261I0BBAAAC
090401000BBTZA0	0913445B0BDAAAC
