CCG13CD,CCG13NM,NHSAT13CD,NHSAT13NM,NHSCR13CD,NHSCR13NM
E38000176,NHS Sunderland,E39000006,"Cumbria, Northumberland, Tyne and Wear",E40000001,North of England
E38000177,NHS Surrey Downs,E39000023,Surrey and Sussex,E40000004,South of England
E38000178,NHS Surrey Heath,E39000023,Surrey and Sussex,E40000004,South of England
E38000179,NHS Sutton,E39000018,London,E40000003,London
E38000180,NHS Swale,E39000022,Kent and Medway,E40000004,South of England
E38000181,NHS Swindon,E39000019,"Bath, Gloucestershire, Swindon and Wiltshire",E40000004,South of England
E38000182,NHS Tameside and Glossop,E39000003,Greater Manchester,E40000001,North of England
E38000183,NHS Telford & Wrekin,E39000017,Shropshire and Staffordshire,E40000002,Midlands and East of England
E38000184,NHS Thanet,E39000022,Kent and Medway,E40000004,South of England
E38000185,NHS Thurrock,E39000014,Essex,E40000002,Midlands and East of England
E38000186,NHS Tower Hamlets,E39000018,London,E40000003,London
E38000187,NHS Trafford,E39000003,Greater Manchester,E40000001,North of England
E38000188,NHS Vale of York,E39000007,North Yorkshire and Humber,E40000001,North of England
E38000189,NHS Vale Royal,E39000001,"Cheshire, Warrington and Wirral",E40000001,North of England
E38000190,NHS Wakefield,E39000009,West Yorkshire,E40000001,North of England
E38000191,NHS Walsall,E39000011,Birmingham and the Black Country,E40000002,Midlands and East of England
E38000192,NHS Waltham Forest,E39000018,London,E40000003,London
E38000193,NHS Wandsworth,E39000018,London,E40000003,London
E38000194,NHS Warrington,E39000001,"Cheshire, Warrington and Wirral",E40000001,North of England
E38000195,NHS Warwickshire North,E39000010,"Arden, Herefordshire and Worcestershire",E40000002,Midlands and East of England
E38000196,NHS West Cheshire,E39000001,"Cheshire, Warrington and Wirral",E40000001,North of England
E38000197,NHS West Essex,E39000014,Essex,E40000002,Midlands and East of England
E38000198,NHS West Hampshire,E39000025,Wessex,E40000004,South of England
E38000199,NHS West Kent,E39000022,Kent and Medway,E40000004,South of England
E38000200,NHS West Lancashire,E39000004,Lancashire,E40000001,North of England
E38000201,NHS West Leicestershire,E39000016,Leicestershire and Lincolnshire,E40000002,Midlands and East of England
E38000202,"NHS West London (Kensington and Chelsea, Queen's Park and Paddington)",E39000018,London,E40000003,London
E38000203,NHS West Norfolk,E39000013,East Anglia,E40000002,Midlands and East of England
E38000204,NHS West Suffolk,E39000013,East Anglia,E40000002,Midlands and East of England
E38000205,NHS Wigan Borough,E39000003,Greater Manchester,E40000001,North of England
E38000206,NHS Wiltshire,E39000019,"Bath, Gloucestershire, Swindon and Wiltshire",E40000004,South of England
E38000207,"NHS Windsor, Ascot and Maidenhead",E39000024,Thames Valley,E40000004,South of England
E38000208,NHS Wirral,E39000001,"Cheshire, Warrington and Wirral",E40000001,North of England
E38000209,NHS Wokingham,E39000024,Thames Valley,E40000004,South of England
E38000210,NHS Wolverhampton,E39000011,Birmingham and the Black Country,E40000002,Midlands and East of England
E38000211,NHS Wyre Forest,E39000010,"Arden, Herefordshire and Worcestershire",E40000002,Midlands and East of England
